Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Golden Jubilee National Hospital,Scotland total
18/03/2020,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,6
19/03/2020,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,11
20/03/2020,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,16
21/03/2020,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,20
22/03/2020,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,23
23/03/2020,1,1,1,1,1,1,6,1,1,7,1,1,5,1,1,30
24/03/2020,1,1,1,1,1,1,8,1,5,14,1,1,6,1,1,42
25/03/2020,1,1,1,1,1,1,11,1,8,14,1,1,6,1,1,52
26/03/2020,1,1,1,1,1,1,12,1,11,12,1,1,5,1,1,57
27/03/2020,7,1,1,1,1,1,18,1,9,15,1,1,6,1,1,72
28/03/2020,7,1,1,5,1,1,24,1,11,17,1,1,7,1,1,81
29/03/2020,7,1,5,6,1,1,23,1,17,24,1,1,7,1,1,95
30/03/2020,9,1,1,6,1,1,22,1,18,29,1,1,9,1,1,108
31/03/2020,10,5,1,7,1,5,34,1,22,32,1,1,10,1,1,135
01/04/2020,11,6,1,10,1,1,36,5,26,33,1,1,10,1,1,147
02/04/2020,11,7,5,11,1,5,38,5,28,35,1,1,12,1,1,162
03/04/2020,14,7,6,12,1,5,45,5,28,36,1,1,14,1,1,176
04/04/2020,14,6,5,12,1,5,51,5,31,41,1,1,17,1,1,192
05/04/2020,14,8,5,10,1,6,54,5,31,46,1,1,13,1,1,197
06/04/2020,16,7,5,9,5,10,51,5,34,40,1,1,15,1,1,199
07/04/2020,14,7,5,11,7,11,54,6,30,41,1,1,11,1,1,199
08/04/2020,16,9,6,13,9,11,62,6,28,41,1,1,7,1,1,210
09/04/2020,15,7,9,13,7,13,64,6,31,39,1,1,7,1,1,212
