Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Golden Jubilee National Hospital,Scotland
26/03/2020,14,5,11,20,29,8,125,7,0,66,1,1,26,1,1,311
27/03/2020,19,6,13,23,31,13,153,6,41,73,1,1,25,1,1,404
28/03/2020,20,15,13,30,32,16,200,7,62,83,1,1,32,1,1,511
29/03/2020,28,20,15,31,34,19,213,11,71,88,1,1,34,1,1,565
30/03/2020,34,17,16,41,36,20,226,8,83,99,1,1,46,1,1,627
31/03/2020,37,28,21,52,43,28,287,11,89,107,1,1,48,1,1,752
01/04/2020,32,29,20,34,52,31,331,10,101,118,1,1,52,1,1,815
02/04/2020,39,28,19,65,57,30,347,16,115,128,1,1,64,1,1,910
03/04/2020,45,34,19,76,65,45,404,17,113,149,1,1,67,1,1,1037
04/04/2020,47,36,20,84,63,44,421,24,133,158,1,1,74,1,1,1107
05/04/2020,46,40,23,87,59,53,458,35,151,166,1,1,83,1,1,1204
06/04/2020,49,41,21,95,55,61,476,34,151,183,1,1,93,1,1,1262
07/04/2020,55,39,16,89,60,61,534,35,168,179,1,1,91,1,1,1328
08/04/2020,63,39,20,96,59,62,555,34,176,204,1,1,105,1,1,1415
09/04/2020,63,46,22,100,56,72,563,30,188,204,1,1,94,1,1,1440
10/04/2020,62,45,24,94,53,72,571,42,196,205,1,1,94,1,1,1461
11/04/2020,62,44,25,97,57,73,590,39,181,200,1,1,97,1,1,1467
12/04/2020,62,44,24,99,58,78,597,40,187,201,1,1,94,1,1,1487
13/04/2020,67,41,23,101,57,77,583,46,189,204,1,1,92,1,1,1482
14/04/2020,72,42,19,102,56,78,594,43,187,221,1,1,97,1,1,1514
15/04/2020,72,42,20,92,56,73,598,49,167,221,1,1,93,1,1,1486
16/04/2020,79,43,20,96,51,71,606,49,154,217,1,1,90,1,1,1479
17/04/2020,82,43,19,98,47,69,580,49,179,229,1,1,89,1,1,1487
18/04/2020,81,42,21,91,51,75,593,46,173,236,1,1,89,1,1,1501
19/04/2020,91,43,20,105,50,72,593,45,180,228,1,1,90,1,1,1520
20/04/2020,95,41,24,105,49,73,603,46,169,224,1,1,87,1,1,1520
21/04/2020,87,39,23,102,43,75,583,43,163,234,1,1,77,1,1,1472
22/04/2020,79,38,18,100,44,68,574,39,161,241,1,1,66,1,1,1432
23/04/2020,78,34,16,113,36,71,564,39,167,230,1,1,71,1,1,1423
24/04/2020,69,34,11,110,41,71,561,26,163,230,1,1,64,1,1,1383
25/04/2020,69,34,11,111,40,69,557,32,158,234,1,1,67,1,1,1385
26/04/2020,66,34,12,113,39,71,557,33,158,227,1,1,69,1,1,1382
27/04/2020,68,34,12,109,36,73,557,32,167,227,1,1,69,1,1,1387
28/04/2020,66,32,13,113,40,71,542,27,174,213,1,1,65,1,1,1359
29/04/2020,61,31,13,114,42,80,555,19,170,209,1,1,66,1,1,1363
30/04/2020,62,31,10,103,37,85,548,15,163,203,1,1,65,1,1,1324
01/05/2020,62,30,10,100,37,90,538,8,160,200,1,1,65,1,1,1302
02/05/2020,61,27,8,100,34,94,530,13,152,197,1,1,59,1,1,1277
03/05/2020,61,25,8,100,36,98,526,13,147,194,1,1,56,1,1,1266
04/05/2020,59,25,7,100,36,99,533,11,150,200,1,1,57,1,1,1279
05/05/2020,57,26,5,89,30,97,523,11,144,197,1,1,44,1,1,1225
06/05/2020,56,28,1,90,27,94,509,13,136,197,1,1,47,1,1,1204
07/05/2020,54,29,1,86,26,93,506,12,135,202,1,1,48,1,1,1199
08/05/2020,52,28,1,88,26,89,502,9,125,195,1,1,47,1,1,1168
09/05/2020,55,28,1,84,28,91,496,10,120,197,1,1,44,1,1,1159
10/05/2020,43,27,1,82,27,92,492,9,113,200,1,1,41,1,1,1132
11/05/2020,41,28,1,80,28,99,497,9,117,202,1,1,37,1,5,1145
12/05/2020,39,26,1,81,26,99,496,6,114,208,1,1,29,1,5,1131
13/05/2020,39,27,1,75,25,97,486,5,106,206,1,1,27,1,6,1101
14/05/2020,41,27,1,76,22,98,473,5,122,203,1,1,25,1,6,1100
15/05/2020,42,25,1,75,21,96,460,5,113,200,1,1,23,1,1,1066
16/05/2020,33,25,1,74,19,92,433,7,107,193,1,1,22,1,1,1011
17/05/2020,32,26,1,76,19,89,432,6,107,192,1,1,23,1,1,1007
18/05/2020,32,27,1,75,19,88,434,6,103,192,1,1,23,1,1,1005
19/05/2020,32,21,1,74,19,84,428,5,95,187,1,1,18,1,1,969
20/05/2020,29,21,1,72,15,80,412,13,91,183,1,1,21,1,1,943
21/05/2020,29,12,1,70,14,72,400,12,95,180,1,1,20,1,1,909
22/05/2020,26,12,1,69,14,68,389,12,90,174,1,1,15,1,1,874
23/05/2020,21,11,1,69,16,70,379,10,86,162,1,1,13,1,1,841
24/05/2020,25,11,1,69,14,72,379,10,83,165,1,1,13,1,1,845
25/05/2020,21,11,1,69,16,71,384,10,82,168,1,1,14,1,1,849
26/05/2020,19,9,1,67,15,66,382,8,83,169,1,1,13,1,1,833
27/05/2020,16,1,1,66,10,69,378,9,78,164,1,1,14,1,1,810
28/05/2020,16,1,1,68,10,65,369,9,76,167,1,1,13,1,1,797
29/05/2020,13,1,1,65,10,65,354,11,77,160,1,1,10,1,1,769
30/05/2020,11,1,1,62,10,66,343,9,69,155,1,1,8,1,1,736
31/05/2020,11,1,1,63,10,66,338,9,71,156,1,1,9,1,1,733
01/06/2020,13,1,1,64,9,69,338,9,68,156,1,1,10,1,1,736
02/06/2020,11,1,1,62,9,64,332,10,66,150,1,1,10,1,1,714
03/06/2020,10,1,1,62,12,64,332,9,66,144,1,1,9,1,1,708
04/06/2020,8,1,1,63,14,66,317,8,62,145,1,1,8,1,1,691
05/06/2020,8,1,1,65,13,63,311,6,65,143,1,1,8,1,1,682
06/06/2020,8,1,1,60,12,62,294,6,59,143,1,1,8,1,1,652
07/06/2020,10,1,1,60,10,60,295,6,58,146,1,1,7,1,1,652
08/06/2020,10,1,1,61,12,60,301,7,57,145,1,1,7,1,1,660
09/06/2020,11,1,1,58,10,62,289,8,56,145,1,1,8,1,1,647
10/06/2020,8,1,1,58,9,60,279,9,55,142,1,1,7,1,1,628
11/06/2020,7,1,1,57,9,60,272,7,52,141,1,1,1,1,1,610
12/06/2020,6,1,1,57,7,58,260,7,51,138,1,1,5,1,1,590
13/06/2020,6,1,1,58,7,56,255,7,50,135,1,1,7,1,1,582
14/06/2020,5,1,1,57,5,56,255,7,49,134,1,1,6,1,1,575
15/06/2020,5,1,1,56,6,56,262,7,49,131,1,1,5,1,1,578
16/06/2020,5,1,1,56,7,58,255,7,44,131,1,1,1,1,1,567
17/06/2020,1,1,1,56,6,55,256,5,38,130,1,1,1,1,1,552
18/06/2020,1,1,1,57,7,50,249,5,43,128,1,1,1,1,1,544
