Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Golden Jubilee National Hospital,Scotland
26/03/2020,31,1,12,25,33,1,0,32,0,13,1,1,24,1,1,179
27/03/2020,25,19,18,28,33,1,0,22,51,42,1,1,25,1,1,268
28/03/2020,31,20,28,20,33,1,0,31,48,22,1,1,29,1,5,271
29/03/2020,24,17,24,33,50,1,0,27,60,18,1,1,28,1,6,294
30/03/2020,17,17,21,40,58,1,0,25,66,9,1,1,28,1,6,297
31/03/2020,20,13,18,22,58,1,0,32,68,46,1,1,28,5,5,321
01/04/2020,30,24,27,26,57,1,0,38,46,50,1,1,28,1,5,338
02/04/2020,32,25,27,33,52,1,0,24,71,69,1,1,25,1,1,367
03/04/2020,29,20,21,19,43,1,0,22,79,66,1,1,18,1,1,323
04/04/2020,32,21,16,31,36,1,0,27,90,74,5,1,37,1,1,376
05/04/2020,38,17,20,33,29,1,0,16,88,104,1,1,35,1,1,386
06/04/2020,34,10,26,20,51,1,0,26,88,95,1,1,26,1,1,384
07/04/2020,49,15,13,42,59,1,0,27,78,82,1,1,34,1,1,405
08/04/2020,28,17,24,31,48,1,0,27,73,71,1,1,29,1,5,356
09/04/2020,31,21,18,36,50,1,0,26,68,65,1,1,15,1,1,341
10/04/2020,48,19,25,37,33,1,0,12,91,72,1,1,18,1,6,371
11/04/2020,64,18,36,32,40,1,0,16,76,62,1,1,26,1,5,388
12/04/2020,28,6,19,23,33,13,0,13,60,44,1,1,19,1,1,268
13/04/2020,35,13,28,20,35,12,0,16,74,54,1,1,23,1,1,315
14/04/2020,40,15,21,18,37,8,0,15,74,42,1,1,12,1,1,287
15/04/2020,43,13,16,13,40,5,0,12,58,38,1,1,17,1,1,261
16/04/2020,30,23,11,29,46,15,0,11,49,67,1,1,28,1,6,318
17/04/2020,37,13,10,26,33,16,0,13,82,49,1,1,20,1,6,312
18/04/2020,37,10,8,28,26,9,0,13,79,50,1,1,19,1,8,292
19/04/2020,31,14,15,22,28,8,0,20,69,51,1,1,8,1,8,277
20/04/2020,34,14,13,15,40,11,0,12,69,44,1,1,23,1,7,289
21/04/2020,34,15,14,36,48,16,0,25,77,88,1,5,21,1,10,394
22/04/2020,24,14,11,35,40,23,0,29,86,47,1,1,24,1,9,344
23/04/2020,26,6,20,28,49,31,0,17,70,47,1,1,26,1,5,325
24/04/2020,44,6,17,26,42,29,0,29,73,45,1,1,14,1,1,327
25/04/2020,33,22,13,22,56,29,0,20,86,53,1,1,25,1,1,363
26/04/2020,25,15,10,40,45,17,0,17,83,74,1,1,22,1,1,353
27/04/2020,33,6,16,43,51,17,0,16,90,74,1,1,26,1,1,375
28/04/2020,46,17,12,33,67,26,0,34,83,50,1,1,23,1,1,395
29/04/2020,48,6,19,34,50,24,0,24,83,45,1,1,30,1,1,364
30/04/2020,51,12,11,39,41,34,0,27,100,77,1,1,30,1,1,424
01/05/2020,43,7,14,39,51,29,0,26,98,110,1,1,21,1,1,439
02/05/2020,42,9,15,30,61,31,0,23,95,61,1,1,27,1,1,397
03/05/2020,54,10,10,23,30,49,0,28,86,75,1,1,32,1,1,400
04/05/2020,27,5,14,25,34,31,0,33,107,127,1,1,35,1,1,441
05/05/2020,36,6,16,29,51,68,0,41,79,77,1,1,20,1,1,431
06/05/2020,52,9,17,19,55,57,0,24,93,77,1,1,17,1,1,428
07/05/2020,43,9,15,14,53,42,0,15,77,100,1,1,17,1,1,388
08/05/2020,39,15,22,22,49,49,0,24,81,92,1,1,16,1,5,416
09/05/2020,36,7,17,36,51,27,0,25,72,126,1,1,19,1,1,418
10/05/2020,38,11,7,33,58,17,0,25,53,92,1,1,16,1,1,352
11/05/2020,37,8,1,33,66,20,0,25,57,38,1,1,15,1,1,308
12/05/2020,32,12,13,25,58,43,0,55,94,123,1,1,26,1,1,487
13/05/2020,30,13,8,22,55,42,0,51,84,111,1,1,14,1,1,433
14/05/2020,24,17,7,32,50,53,0,28,61,88,1,1,18,1,1,380
15/05/2020,25,9,13,28,39,53,0,27,84,87,1,1,12,1,1,383
16/05/2020,38,15,21,24,36,31,0,25,74,130,1,1,9,1,1,405
17/05/2020,48,14,15,21,43,28,0,30,28,52,1,1,20,1,1,301
18/05/2020,57,17,10,28,37,61,0,22,63,90,1,1,33,1,1,422
19/05/2020,63,14,11,34,47,55,0,57,77,87,1,1,25,1,1,478
20/05/2020,69,20,22,31,47,33,0,33,100,124,1,1,16,1,1,500
21/05/2020,41,21,12,21,41,32,0,29,53,142,1,1,16,1,1,409
22/05/2020,35,17,12,32,40,16,0,38,83,88,1,1,20,1,1,383
23/05/2020,39,18,14,29,53,21,0,38,80,150,1,1,19,1,1,464
24/05/2020,30,25,18,33,55,18,0,26,69,187,1,1,23,1,1,484
25/05/2020,24,19,13,23,41,13,0,27,74,174,1,1,10,1,1,420
26/05/2020,21,20,10,13,29,22,0,41,85,103,1,1,18,1,1,367
27/05/2020,23,14,14,22,35,16,0,34,86,178,1,1,14,1,1,437
28/05/2020,34,16,14,14,42,22,0,43,70,173,1,1,12,1,1,441
29/05/2020,33,11,18,29,41,22,0,34,66,183,1,1,10,1,1,447
