Date,NHS24 111 Calls,Coronavirus Helpline Calls
17/03/20,6977,6772
18/03/20,5568,4930
19/03/20,4774,3271
20/03/20,4789,2693
21/03/20,11620,1304
22/03/20,10824,1824
23/03/20,11904,6895
24/03/20,8573,3959
25/03/20,8520,3030
26/03/20,7803,2490
27/03/20,7401,2015
28/03/20,9001,925
29/03/20,7534,861
30/03/20,7018,2469
31/03/20,5343,1415
01/04/20,5333,1255
02/04/20,4609,1233
03/04/20,4534,1146
04/04/20,7682,538
05/04/20,6865,464
06/04/20,5310,1246
07/04/20,4428,984
08/04/20,4215,907
09/04/20,4057,791
10/04/20,3927,595
11/04/20,7743,286
12/04/20,7040,271
13/04/20,3602,506
14/04/20,3826,679
15/04/20,3400,626
16/04/20,3413,581
17/04/20,3499,499
18/04/20,7415,193
19/04/20,6616,152
20/04/20,3555,520
21/04/20,3005,380
22/04/20,3061,420
23/04/20,3009,364
24/04/20,3206,385
25/04/20,7368,158
26/04/20,6729,140
27/04/20,3460,495
28/04/20,3288,440
29/04/20,3415,518
30/04/20,3333,490
01/05/20,3264,434
02/05/20,7791,196
03/05/20,7103,207
04/05/20,3534,554
05/05/20,3159,347
06/05/20,2940,304
07/05/20,2944,304
08/05/20,3085,273
09/05/20,7605,141
10/05/20,6532,135
11/05/20,3084,349
12/05/20,2883,293
13/05/20,2767,302
14/05/20,2763,265
15/05/20,2845,247
16/05/20,7433,110
17/05/20,6524,111
18/05/20,3463,359
19/05/20,3196,248
20/05/20,2912,219
21/05/20,2925,274
22/05/20,3055,232
23/05/20,7122,89
24/05/20,6862,106
25/05/20,3168,214
26/05/20,2876,248
27/05/20,2637,264
28/05/20,2615,414
29/05/20,2747,447
30/05/20,7063,197
31/05/20,6531,194
01/06/20,3011,476
02/06/20,2651,393
03/06/20,2801,441
04/06/20,2722,390
05/06/20,2834,472
06/06/20,7437,273
07/06/20,6555,148
08/06/20,2976,490
09/06/20,2681,434
10/06/20,2449,466
11/06/20,2589,391
12/06/20,2688,375
13/06/20,7036,177
14/06/20,6551,167
15/06/20,2971,433
16/06/20,2771,369
17/06/20,2696,370
18/06/20,2536,328
19/06/20,2748,366
20/06/20,6896,170
21/06/20,6473,150
22/06/20,2890,562
23/06/20,2578,626
24/06/20,2730,610
25/06/20,2661,431
26/06/20,2899,410
27/06/20,7675,218
28/06/20,6590,206
29/06/20,2832,515
30/06/20,2594,396
01/07/20,2573,383
02/07/20,2518,401
03/07/20,2686,437
04/07/20,6894,191
05/07/20,6445,164
06/07/20,2857,438
07/07/20,2491,402
08/07/20,2432,389
09/07/20,2464,433
10/07/20,2583,365
11/07/20,6574,170
12/07/20,6147,133
13/07/20,3492,436
14/07/20,2543,361
15/07/20,2507,410
16/07/20,2572,394
17/07/20,2668,322
18/07/20,6868,197
19/07/20,6540,229
20/07/20,4948,426
