Date,(i) Confirmed,(i) Suspected,(i) Total,(ii) Confirmed,(ii) Suspected,(ii) Total
18/03/2020,,,6,,,149
19/03/2020,,,11,,,213
20/03/2020,,,16,,,247
21/03/2020,,,20,,,244
22/03/2020,,,23,,,285
23/03/2020,,,30,,,329
24/03/2020,,,42,,,441
25/03/2020,,,52,,,482
26/03/2020,,,57,,,575
27/03/2020,62,10,72,404,268,672
28/03/2020,74,7,81,511,271,782
29/03/2020,85,10,95,565,294,859
30/03/2020,94,14,108,627,297,924
31/03/2020,123,12,135,752,321,1073
01/04/2020,137,10,147,815,338,1153
02/04/2020,144,18,162,910,367,1277
03/04/2020,167,9,176,1037,323,1360
04/04/2020,184,8,192,1107,376,1483
05/04/2020,183,14,197,1204,386,1590
06/04/2020,190,9,199,1262,384,1646
07/04/2020,185,14,199,1328,405,1733
08/04/2020,193,17,210,1415,356,1771
09/04/2020,200,12,212,1440,341,1781
10/04/2020,197,10,207,1461,371,1832
11/04/2020,202,10,212,1467,388,1855
12/04/2020,208,13,221,1487,268,1755
13/04/2020,203,8,211,1482,315,1797
14/04/2020,192,4,196,1514,287,1801
15/04/2020,191,4,195,1486,261,1747
16/04/2020,191,5,196,1479,318,1797
17/04/2020,184,5,189,1487,312,1799
18/04/2020,178,4,182,1501,292,1793
19/04/2020,170,4,174,1520,277,1797
20/04/2020,167,2,169,1520,289,1809
21/04/2020,159,7,166,1472,394,1866
22/04/2020,147,8,155,1432,344,1776
23/04/2020,136,12,148,1423,325,1748
24/04/2020,136,5,141,1383,327,1710
25/04/2020,131,9,140,1385,363,1748
26/04/2020,126,7,133,1382,353,1735
27/04/2020,121,13,134,1387,375,1762
28/04/2020,114,12,126,1359,395,1754
29/04/2020,103,11,114,1363,364,1727
30/04/2020,101,8,109,1324,424,1748
01/05/2020,100,10,110,1302,439,1741
02/05/2020,97,11,108,1277,397,1674
03/05/2020,91,8,99,1266,400,1666
04/05/2020,91,8,99,1279,441,1720
05/05/2020,90,14,104,1225,431,1656
06/05/2020,79,10,89,1204,428,1632
07/05/2020,79,7,86,1199,388,1587
08/05/2020,75,9,84,1168,416,1584
09/05/2020,76,17,93,1159,418,1577
10/05/2020,75,7,82,1132,352,1484
11/05/2020,72,8,80,1145,308,1453
12/05/2020,69,12,81,1131,487,1618
13/05/2020,64,2,66,1101,433,1534
14/05/2020,61,10,71,1100,380,1480
15/05/2020,53,18,71,1066,383,1449
16/05/2020,49,10,59,1011,405,1416
17/05/2020,46,13,59,1007,301,1308
18/05/2020,46,17,63,1005,422,1427
19/05/2020,47,12,59,969,478,1447
20/05/2020,44,9,53,943,500,1443
21/05/2020,43,8,51,909,409,1318
22/05/2020,38,12,50,874,383,1257
23/05/2020,36,14,50,841,464,1305
24/05/2020,33,11,44,845,484,1329
25/05/2020,29,11,40,849,420,1269
26/05/2020,27,8,35,833,367,1200
27/05/2020,28,10,38,810,437,1247
28/05/2020,26,11,37,797,441,1238
29/05/2020,25,15,40,769,447,1216
30/05/2020,25,8,33,736,379,1115
31/05/2020,20,7,27,733,341,1074
01/06/2020,20,7,27,736,311,1047
02/06/2020,20,14,34,714,456,1170
03/06/2020,20,14,34,708,411,1119
04/06/2020,18,10,28,691,336,1027
05/06/2020,16,7,23,682,319,1001
06/06/2020,16,4,20,652,373,1025
07/06/2020,16,9,25,652,356,1008
08/06/2020,16,8,24,660,387,1047
09/06/2020,15,6,21,647,370,1017
10/06/2020,15,3,18,628,364,992
11/06/2020,15,6,21,610,296,906
12/06/2020,15,8,23,590,324,914
13/06/2020,13,7,20,582,401,983
14/06/2020,11,4,15,575,389,964
15/06/2020,12,6,18,578,292,870
16/06/2020,11,8,19,567,419,986
17/06/2020,11,11,22,552,364,916
18/06/2020,10,12,22,544,335,879
19/06/2020,10,8,18,518,318,836
20/06/2020,9,5,14,511,322,833
21/06/2020,9,7,16,518,283,801
22/06/2020,9,6,15,515,352,867
23/06/2020,7,14,21,512,353,865
24/06/2020,8,15,23,489,391,880
25/06/2020,7,11,18,472,354,826
26/06/2020,5,12,17,467,356,823
27/06/2020,5,11,16,456,390,846
28/06/2020,5,8,13,453,326,779
29/06/2020,5,5,10,453,288,741
30/06/2020,5,14,19,450,435,885
01/07/2020,5,12,17,439,346,785
02/07/2020,4,5,9,432,353,785
03/07/2020,5,7,12,422,248,670
04/07/2020,5,15,20,430,281,711
05/07/2020,4,7,11,424,278,702
06/07/2020,4,4,8,384,298,682
07/07/2020,3,4,7,376,323,699
08/07/2020,3,8,11,358,409,767
09/07/2020,3,6,9,342,304,646
10/07/2020,4,8,12,337,331,668
11/07/2020,3,3,6,323,296,619
12/07/2020,3,3,6,330,233,563
13/07/2020,3,3,6,335,214,549
14/07/2020,2,10,12,327,289,616
15/07/2020,2,4,6,329,282,611
16/07/2020,3,3,6,320,310,630
17/07/2020,3,6,9,316,348,664
18/07/2020,3,5,8,305,382,687
19/07/2020,3,1,4,302,208,510
20/07/2020,3,7,10,299,268,567
21/07/2020,4,16,20,303,315,618
22/07/2020,3,,,295,,
