Date,Number of attendances,Number of COVID-19 suspected attendances,Number of suspected COVID-19 patients taken to hospital
18/03/2020,1538,292,180
19/03/2020,1572,339,203
20/03/2020,1593,360,222
21/03/2020,1545,317,179
22/03/2020,1510,391,215
23/03/2020,1649,449,253
24/03/2020,1537,542,287
25/03/2020,1626,587,295
26/03/2020,1622,617,315
27/03/2020,1640,557,293
28/03/2020,1615,516,271
29/03/2020,1510,469,263
30/03/2020,1613,533,291
31/03/2020,1595,561,325
01/04/2020,1672,593,327
02/04/2020,1578,522,291
03/04/2020,1579,609,360
04/04/2020,1603,597,336
05/04/2020,1586,610,363
06/04/2020,1664,653,366
07/04/2020,1567,568,336
08/04/2020,1580,563,332
09/04/2020,1593,511,270
10/04/2020,1672,580,334
11/04/2020,1600,479,251
12/04/2020,1508,479,282
13/04/2020,1447,460,267
14/04/2020,1429,451,246
15/04/2020,1516,421,217
16/04/2020,1525,433,242
17/04/2020,1563,418,246
18/04/2020,1458,405,251
19/04/2020,1455,371,218
20/04/2020,1569,353,205
21/04/2020,1418,269,156
22/04/2020,1392,308,193
23/04/2020,1493,327,205
24/04/2020,1509,338,214
25/04/2020,1573,353,210
26/04/2020,1554,307,194
27/04/2020,1532,343,225
28/04/2020,1553,334,220
29/04/2020,1530,320,219
30/04/2020,1516,360,256
01/05/2020,1702,380,249
02/05/2020,1567,349,203
03/05/2020,1500,317,193
04/05/2020,1607,346,220
05/05/2020,1577,326,227
06/05/2020,1560,311,210
07/05/2020,1543,319,213
08/05/2020,1601,297,197
09/05/2020,1552,271,162
10/05/2020,1459,242,157
11/05/2020,1501,295,198
12/05/2020,1459,311,195
13/05/2020,1473,262,175
14/05/2020,1527,260,170
15/05/2020,1650,274,193
16/05/2020,1524,287,190
17/05/2020,1543,276,186
18/05/2020,1654,341,244
19/05/2020,1614,323,201
20/05/2020,1686,264,186
21/05/2020,1624,267,183
22/05/2020,1612,271,178
23/05/2020,1441,268,175
24/05/2020,1521,255,155
25/05/2020,1577,265,180
26/05/2020,1606,241,149
27/05/2020,1629,257,168
28/05/2020,1682,251,165
29/05/2020,1818,198,131
30/05/2020,1636,206,131
31/05/2020,1634,217,151
01/06/2020,1791,262,183
02/06/2020,1631,219,152
03/06/2020,1592,211,136
04/06/2020,1551,225,158
05/06/2020,1606,257,165
06/06/2020,1636,219,156
07/06/2020,1631,236,158
08/06/2020,1653,254,178
09/06/2020,1543,235,167
10/06/2020,1520,250,165
11/06/2020,1594,247,169
12/06/2020,1684,210,141
13/06/2020,1625,240,163
14/06/2020,1681,224,152
15/06/2020,1720,244,176
16/06/2020,1619,222,153
17/06/2020,1633,211,150
18/06/2020,1662,216,148
19/06/2020,1711,224,158
20/06/2020,1775,204,119
21/06/2020,1600,200,127
22/06/2020,1597,194,126
23/06/2020,1545,207,148
24/06/2020,1681,193,136
25/06/2020,1768,229,162
26/06/2020,1665,205,154
27/06/2020,1694,209,147
28/06/2020,1576,190,129
29/06/2020,1634,230,159
30/06/2020,1614,216,158
01/07/2020,1610,198,149
02/07/2020,1577,213,147
03/07/2020,1630,243,180
04/07/2020,1587,233,153
05/07/2020,1555,197,124
06/07/2020,1625,205,127
07/07/2020,1579,143,104
08/07/2020,1591,170,120
09/07/2020,1658,195,134
10/07/2020,1668,161,114
11/07/2020,1678,168,131
12/07/2020,1692,163,108
13/07/2020,1718,181,131
14/07/2020,1629,197,142
15/07/2020,1636,182,131
16/07/2020,1786,227,160
17/07/2020,1777,166,123
18/07/2020,1716,160,97
19/07/2020,1632,126,95
20/07/2020,1651,176,123
