Date,Number of delayed discharges
04/03/2020,1612
09/03/2020,1533
10/03/2020,1553
11/03/2020,1502
12/03/2020,1549
13/03/2020,1528
16/03/2020,1492
17/03/2020,1487
18/03/2020,1483
19/03/2020,1411
20/03/2020,1358
23/03/2020,1209
24/03/2020,1200
25/03/2020,1120
26/03/2020,1090
27/03/2020,1075
30/03/2020,1041
31/03/2020,987
01/04/2020,921
02/04/2020,890
03/04/2020,805
06/04/2020,740
07/04/2020,725
08/04/2020,692
09/04/2020,687
10/04/2020,652
13/04/2020,611
14/04/2020,589
15/04/2020,591
16/04/2020,616
17/04/2020,628
20/04/2020,619
21/04/2020,587
22/04/2020,610
23/04/2020,600
24/04/2020,582
27/04/2020,580
28/04/2020,591
29/04/2020,597
30/04/2020,593
01/05/2020,607
04/05/2020,600
05/05/2020,607
06/05/2020,613
07/05/2020,608
08/05/2020,632
11/05/2020,610
12/05/2020,632
13/05/2020,630
14/05/2020,638
15/05/2020,662
18/05/2020,647
19/05/2020,653
20/05/2020,659
21/05/2020,680
22/05/2020,697
25/05/2020,704
26/05/2020,700
27/05/2020,703
28/05/2020,723
29/05/2020,738
01/06/2020,738
02/06/2020,730
03/06/2020,759
04/06/2020,769
05/06/2020,774
08/06/2020,768
09/06/2020,737
10/06/2020,747
11/06/2020,748
12/06/2020,766
15/06/2020,739
16/06/2020,745
17/06/2020,754
18/06/2020,770
19/06/2020,777
22/06/2020,784
23/06/2020,765
24/06/2020,772
25/06/2020,776
26/06/2020,792
29/06/2020,793
30/06/2020,773
01/07/2020,795
02/07/2020,825
03/07/2020,833
06/07/2020,831
07/07/2020,834
08/07/2020,841
09/07/2020,855
10/07/2020,855
13/07/2020,833
14/07/2020,853
15/07/2020,856
16/07/2020,860
17/07/2020,871
20/07/2020,866
21/07/2020,872
