Date,Nursing and midwifery absences,Medical and dental staff absences,Other staff absences,All staff absences
01/04/2020,4354,467,4898,9719
02/04/2020,4378,435,5578,10391
03/04/2020,4403,399,5699,10501
04/04/2020,4227,365,5170,9762
05/04/2020,4192,342,5117,9651
06/04/2020,3138,264,4045,7447
07/04/2020,3342,252,4315,7909
08/04/2020,3777,287,4699,8763
09/04/2020,3601,269,4493,8363
10/04/2020,3448,243,3967,7658
11/04/2020,3397,233,3776,7406
12/04/2020,3387,229,3696,7312
13/04/2020,2980,195,3155,6330
14/04/2020,3209,219,3665,7093
15/04/2020,3321,213,3801,7335
16/04/2020,3453,227,3972,7652
17/04/2020,3740,245,3946,7931
18/04/2020,3363,220,3759,7342
19/04/2020,3425,215,3870,7510
20/04/2020,3253,217,3501,6971
21/04/2020,3348,237,3625,7210
22/04/2020,3434,233,3680,7347
23/04/2020,3496,237,3834,7567
24/04/2020,3530,233,3913,7676
25/04/2020,3185,212,3665,7062
26/04/2020,3202,210,3792,7204
27/04/2020,3217,193,3364,6774
28/04/2020,3263,210,3540,7013
29/04/2020,3346,221,3636,7203
30/04/2020,3455,235,3778,7468
01/05/2020,3427,206,3575,7208
02/05/2020,3238,187,3155,6580
03/05/2020,3281,186,3141,6608
04/05/2020,2690,181,2589,5460
05/05/2020,2867,196,2965,6028
06/05/2020,2985,209,3117,6311
07/05/2020,3096,198,3233,6527
08/05/2020,3072,189,3180,6441
09/05/2020,3035,176,3013,6224
10/05/2020,3066,173,2988,6227
11/05/2020,2876,182,2904,5962
12/05/2020,2824,172,2939,5935
13/05/2020,2981,186,3120,6287
14/05/2020,3080,187,3211,6478
15/05/2020,3152,185,3283,6620
16/05/2020,2988,174,3071,6233
17/05/2020,3066,175,3116,6357
18/05/2020,2854,174,3024,6052
19/05/2020,2936,186,3126,6248
20/05/2020,2956,185,3177,6318
21/05/2020,2998,177,3224,6399
22/05/2020,3016,179,3216,6411
23/05/2020,2907,171,2978,6056
24/05/2020,2932,168,2987,6087
25/05/2020,2669,149,2899,5717
26/05/2020,2735,149,2989,5873
27/05/2020,2751,147,3029,5927
28/05/2020,2808,145,3094,6047
29/05/2020,2864,141,3108,6113
30/05/2020,2784,131,2827,5742
31/05/2020,2788,129,2822,5739
01/06/2020,2241,106,2216,4563
02/06/2020,2298,108,2378,4784
03/06/2020,2366,116,2466,4948
04/06/2020,2455,124,2628,5207
05/06/2020,2526,136,2655,5317
06/06/2020,2476,124,2464,5064
07/06/2020,2486,123,2463,5072
08/06/2020,2262,121,2336,4719
09/06/2020,2300,120,2483,4903
10/06/2020,2326,124,2546,4996
11/06/2020,2368,125,2629,5122
12/06/2020,2413,124,2656,5193
13/06/2020,2345,109,2411,4865
14/06/2020,2393,109,2437,4939
15/06/2020,2127,102,2232,4461
16/06/2020,2134,104,2344,4582
17/06/2020,2162,107,2388,4657
18/06/2020,2194,109,2424,4727
19/06/2020,2247,109,2453,4809
20/06/2020,2225,101,2284,4610
21/06/2020,2225,100,2273,4598
22/06/2020,2096,92,2121,4309
23/06/2020,2137,98,2194,4429
24/06/2020,2181,104,2260,4545
25/06/2020,2213,105,2288,4606
26/06/2020,2264,97,2353,4714
27/06/2020,2269,87,2182,4538
28/06/2020,2250,85,2169,4504
29/06/2020,1987,85,1989,4061
30/06/2020,2047,84,2062,4193
01/07/2020,2037,71,1998,4106
02/07/2020,2089,71,2075,4235
03/07/2020,2103,71,2129,4303
04/07/2020,2073,69,1967,4109
05/07/2020,2086,69,1982,4137
06/07/2020,1768,67,1769,3604
07/07/2020,1784,63,1886,3733
08/07/2020,1813,64,1951,3828
09/07/2020,1862,65,2072,3999
10/07/2020,1923,67,2092,4082
11/07/2020,1892,66,2092,4050
12/07/2020,1912,66,1804,3782
13/07/2020,1727,72,1979,3778
14/07/2020,1790,73,2071,3934
15/07/2020,1810,77,2128,4015
16/07/2020,1855,74,2142,4071
17/07/2020,1910,73,2157,4140
18/07/2020,1882,73,2075,4030
19/07/2020,1897,70,2080,4047
20/07/2020,1798,65,1974,3837
21/07/2020,1804,67,2041,3912
