Date,Cumulative number of adult care homes that have reported a suspected COVID-19 case,Proportion of all adult care homes that have reported a suspected COVID-19 case,Cumulative number of adult care homes that have reported more than one case of suspected COVID-19,,Number of adult care homes with current case of suspected COVID-19,Proportion of all adult care homes with current case of suspected COVID-19,Number of adult care homes with current case of suspected COVID-19,Proportion of all adult care homes with current case of suspected COVID-19,,Cumulative number of suspected COVID-19 cases in adult care homes,Daily number of new suspected COVID-19 cases in adult care homes
11/04/20,406,37,202,,-,-,,,,1095,35
12/04/20,408,38,204,,-,-,,,,1124,29
13/04/20,414,38,214,,-,-,,,,1209,85
14/04/20,433,40,225,,-,-,,,,1295,86
15/04/20,444,41,239,,-,-,,,,1398,103
16/04/20,456,42,251,,-,-,,,,1498,100
17/04/20,459,42,267,,-,-,,,,1621,123
18/04/20,462,43,269,,-,-,,,,1663,42
19/04/20,462,43,272,,-,-,,,,1677,14
20/04/20,475,44,286,,-,-,,,,1873,196
21/04/20,495,46,308,,384,35,,,,2085,212
22/04/20,506,47,318,,-,-,,,,2293,208
23/04/20,516,48,332,,-,-,,,,2445,152
24/04/20,526,49,342,,-,-,,,,2621,176
25/04/20,529,49,345,,-,-,,,,2690,69
26/04/20,530,49,345,,-,-,,,,2731,41
27/04/20,538,50,354,,-,-,,,,2935,204
28/04/20,547,51,360,,429,40,,,,3095,160
29/04/20,554,51,367,,-,-,,,,3221,126
30/04/20,562,52,377,,-,-,,,,3345,124
01/05/20,568,52,384,,-,-,,,,3466,121
02/05/20,569,53,388,,-,-,,,,3500,34
03/05/20,571,53,390,,-,-,,,,3558,58
04/05/20,576,53,402,,-,-,,,,3779,221
05/05/20,585,54,408,,453,42,,,,3948,169
06/05/20,593,55,415,,-,-,,,,4139,191
07/05/20,599,55,420,,470,44,,,,4281,142
08/05/20,608,56,429,,-,-,,,,4406,125
09/05/20,609,56,431,,474,44,,,,4445,39
10/05/20,609,56,434,,434,40,,,,4503,58
11/05/20,613,57,440,,432,40,,,,4643,140
12/05/20,620,57,448,,436,41,,,,4738,95
13/05/20,624,58,457,,440,41,,,,4869,131
14/05/20,629,58,459,,488,45,,,,4975,106
15/05/20,632,58,463,,486,45,,,,5069,94
16/05/20,632,58,463,,486,45,,,,5096,27
17/05/20,632,58,463,,484,45,,,,5126,30
18/05/20,634,59,467,,482,45,,,,5306,180
19/05/20,638,59,470,,484,45,,,,5363,57
20/05/20,644,59,474,,480,44,,,,5463,100
21/05/20,651,60,476,,485,45,,,,5532,69
22/05/20,653,60,481,,484,45,,,,5593,61
23/05/20,655,60,482,,485,45,,,,5635,42
24/05/20,655,60,482,,486,45,,,,5652,17
25/05/20,658,61,487,,485,45,,,,5759,107
26/05/20,662,61,490,,477,44,,,,5819,60
27/05/20,665,61,493,,478,44,,,,5853,34
28/05/20,667,62,496,,488,45,,,,5912,59
29/05/20,668,62,498,,483,45,,,,5951,39
30/05/20,668,62,499,,483,45,,,,5957,6
31/05/20,668,62,500,,481,44,,,,5961,4
01/06/20,668,62,501,,472,44,,,,6019,58
02/06/20,668,62,502,,458,42,,,,6019,0
03/06/20,673,62,507,,448,41,,,,6061,42
04/06/20,675,62,512,,421,39,,,,6088,27
05/06/20,677,63,513,,406,38,,,,6146,58
06/06/20,677,63,513,,406,38,,,,6154,8
07/06/20,678,63,513,,405,38,,,,6187,33
08/06/20,678,63,514,,397,37,,,,6230,43
09/06/20,681,63,515,,390,36,,,,6274,44
10/06/20,682,63,516,,382,35,,,,6288,14
11/06/20,682,63,519,,372,34,,,,6310,22
12/06/20,683,63,520,,366,34,,,,6333,23
13/06/20,684,63,520,,366,34,,,,6337,4
14/06/20,684,63,520,,366,34,,,,6344,7
15/06/20,685,63,522,,358,33,,,,6376,32
16/06/20,686,63,523,,352,33,,,,6408,32
17/06/20,686,63,524,,351,33,,,,6424,16
18/06/20,687,63,525,,348,32,,,,6434,10
19/06/20,688,64,526,,347,32,,,,6452,18
20/06/20,688,64,526,,348,32,,,,6456,4
21/06/20,688,64,526,,347,32,,,,6465,9
22/06/20,688,64,526,,340,31,,,,6485,20
23/06/20,688,64,527,,331,31,,,,6515,30
24/06/20,689,64,528,,330,31,,,,6523,8
25/06/20,689,64,529,,313,29,,,,6543,20
26/06/20,689,64,531,,256,24,,,,6561,18
27/06/20,689,64,531,,253,23,,,,6564,3
28/06/20,689,64,531,,253,23,143,13,,6566,2
29/06/20,689,64,533,,,,140,13,,6579,13
30/06/20,689,64,536,,,,138,13,,6601,22
01/07/20,689,64,536,,,,135,13,,6621,20
02/07/20,690,64,537,,,,135,13,,6631,10
03/07/20,691,64,537,,,,129,12,,6644,13
04/07/20,691,64,537,,,,125,12,,6646,2
05/07/20,691,64,537,,,,123,11,,6648,2
06/07/20,691,64,540,,,,125,12,,6672,24
07/07/20,691,64,540,,,,119,11,,6682,10
08/07/20,692,64,540,,,,113,10,,6697,15
09/07/20,693,64,542,,,,117,11,,6707,10
10/07/20,693,64,542,,,,114,11,,6719,12
11/07/20,693,64,542,,,,115,11,,6726,7
12/07/20,693,64,542,,,,115,11,,6729,3
13/07/20,693,64,542,,,,108,10,,6737,8
14/07/20,694,64,542,,,,98,9,,6742,5
15/07/20,694,64,543,,,,97,9,,6757,15
16/07/20,694,64,543,,,,90,8,,6765,8
17/07/20,695,64,544,,,,85,8,,6778,13
18/07/20,695,64,544,,,,84,8,,6801,23
19/07/20,695,64,544,,,,82,8,,6802,1
20/07/20,697,65,547,,,,90,8,,6830,28
21/07/20,697,65,548,,,,83,8,,6834,4
