Date,Number of COVID-19 confirmed deaths registered to date
14/03/2020,1
15/03/2020,1
16/03/2020,1
17/03/2020,2
18/03/2020,3
19/03/2020,6
20/03/2020,6
21/03/2020,7
22/03/2020,10
23/03/2020,14
24/03/2020,16
25/03/2020,22
26/03/2020,25
27/03/2020,33
28/03/2020,40
29/03/2020,41
30/03/2020,47
31/03/2020,69
01/04/2020,97
02/04/2020,126
03/04/2020,172
04/04/2020,218
05/04/2020,220
06/04/2020,222
07/04/2020,296
08/04/2020,366
09/04/2020,447
10/04/2020,495
11/04/2020,542
12/04/2020,566
13/04/2020,575
14/04/2020,615
15/04/2020,699
16/04/2020,779
17/04/2020,837
18/04/2020,893
19/04/2020,903
20/04/2020,915
21/04/2020,985
22/04/2020,1062
23/04/2020,1120
24/04/2020,1184
25/04/2020,1231
26/04/2020,1249
27/04/2020,1262
28/04/2020,1332
29/04/2020,1415
30/04/2020,1475
01/05/2020,1515
02/05/2020,1559
03/05/2020,1571
04/05/2020,1576
05/05/2020,1620
06/05/2020,1703
07/05/2020,1762
08/05/2020,1811
09/05/2020,1847
10/05/2020,1857
11/05/2020,1862
12/05/2020,1912
13/05/2020,1973
14/05/2020,2007
15/05/2020,2053
16/05/2020,2094
17/05/2020,2103
18/05/2020,2105
19/05/2020,2134
20/05/2020,2184
21/05/2020,2221
22/05/2020,2245
23/05/2020,2261
24/05/2020,2270
25/05/2020,2273
26/05/2020,2291
27/05/2020,2304
28/05/2020,2316
29/05/2020,2331
30/05/2020,2353
31/05/2020,2362
01/06/2020,2363
02/06/2020,2375
03/06/2020,2386
04/06/2020,2395
05/06/2020,2409
06/06/2020,2415
07/06/2020,2415
08/06/2020,2415
09/06/2020,2422
10/06/2020,2434
11/06/2020,2439
12/06/2020,2442
13/06/2020,2447
14/06/2020,2448
15/06/2020,2448
16/06/2020,2453
17/06/2020,2462
18/06/2020,2464
19/06/2020,2470
20/06/2020,2472
21/06/2020,2472
22/06/2020,2472
23/06/2020,2476
24/06/2020,2480
25/06/2020,2482
26/06/2020,2482
27/06/2020,2482
28/06/2020,2482
29/06/2020,2482
30/06/2020,2485
01/07/2020,2486
02/07/2020,2487
03/07/2020,2488
04/07/2020,2488
05/07/2020,2488
06/07/2020,2488
07/07/2020,2489
08/07/2020,2490
09/07/2020,2490
10/07/2020,2490
11/07/2020,2490
12/07/2020,2490
13/07/2020,2490
14/07/2020,2490
15/07/2020,2490
16/07/2020,2491
17/07/2020,2491
18/07/2020,2491
19/07/2020,2491
20/07/2020,2491
21/07/2020,2491
22/07/2020,2491
