Health board,Total deaths to date,COVID-19 deaths to date,Population (2019),COVID-19 death rate per 10000 popualtion
Ayrshire and Arran, 3064 ,294,369360,8.0
Borders, 873 ,74,115510,6.4
Dumfries and Galloway, 1202 ,47,148860,3.2
Fife, 2472 ,203,373550,5.4
Forth Valley, 2165 ,239,306640,7.8
Grampian, 3546 ,260,585700,4.4
Greater Glasgow and Clyde, 8722 ,1333,1183120,11.3
Highland, 2308 ,115,321700,3.6
Lanarkshire, 4903 ,585,661900,8.8
Lothian, 5409 ,727,907580,8.0
Orkney, 138 ,2,22270,0.9
Shetland, 129 ,7,22920,3.1
Tayside, 3221 ,315,417470,7.5
Western Isles, 212 ,0,26720,0.0
