Location of death,Hospital,Care Home,Home/ Non-institution,Other institution
Cancer,2660,1260,1774,36
Dementia / Alzheimer's,430,1387,179,16
Circulatory,2730,898,1634,12
Respiratory,1471,379,438,3
Other,2569,644,1415,15
All,9858,4568,5441,82
Cancer,1989,1064,2779,18
Dementia / Alzheimer's,277,1757,352,18
Circulatory,2197,985,2263,18
Respiratory,944,360,539,4
Other,2333,879,2083,22
All,9520,6919,8257,87
COVID-19,1780,1874,241,7
Cancer,-671,-196,1005,-18
Dementia / Alzheimer's,-153,370,173,2
Circulatory,-533,87,629,6
Respiratory,-527,-19,101,1
COVID-19,1780,1874,241,7
Other,-236,235,668,7
All,-338,2351,2816,5
