Date,Cumulative deaths by date of death,Cumulative deaths by date of registration
12/03/2020,2,0
13/03/2020,2,0
14/03/2020,4,0
15/03/2020,5,0
16/03/2020,8,0
17/03/2020,11,2
18/03/2020,15,5
19/03/2020,19,6
20/03/2020,24,11
21/03/2020,31,11
22/03/2020,37,11
23/03/2020,44,13
24/03/2020,56,15
25/03/2020,78,16
26/03/2020,101,31
27/03/2020,124,66
28/03/2020,161,73
29/03/2020,188,73
30/03/2020,239,116
31/03/2020,297,166
01/04/2020,362,215
02/04/2020,423,278
03/04/2020,498,349
04/04/2020,554,351
05/04/2020,640,355
06/04/2020,730,477
07/04/2020,814,594
08/04/2020,906,718
09/04/2020,1014,819
10/04/2020,1113,904
11/04/2020,1208,954
12/04/2020,1282,964
13/04/2020,1361,1041
14/04/2020,1461,1185
15/04/2020,1555,1334
16/04/2020,1656,1462
17/04/2020,1741,1572
18/04/2020,1836,1597
19/04/2020,1926,1614
20/04/2020,2031,1738
21/04/2020,2127,1898
22/04/2020,2215,2021
23/04/2020,2287,2137
24/04/2020,2363,2221
25/04/2020,2442,2261
26/04/2020,2520,2275
27/04/2020,2605,2383
28/04/2020,2664,2517
29/04/2020,2733,2630
30/04/2020,2801,2705
01/05/2020,2868,2781
02/05/2020,2928,2795
03/05/2020,2989,2802
04/05/2020,3051,2867
05/05/2020,3118,2989
06/05/2020,3177,3074
07/05/2020,3238,3146
08/05/2020,3296,3195
09/05/2020,3346,3212
10/05/2020,3384,3217
11/05/2020,3429,3290
12/05/2020,3464,3380
13/05/2020,3517,3424
14/05/2020,3567,3480
15/05/2020,3601,3540
16/05/2020,3638,3550
17/05/2020,3672,3553
18/05/2020,3706,3599
19/05/2020,3737,3665
20/05/2020,3765,3713
21/05/2020,3799,3741
22/05/2020,3818,3769
23/05/2020,3833,3780
24/05/2020,3846,3783
25/05/2020,3868,3805
26/05/2020,3889,3825
27/05/2020,3911,3846
28/05/2020,3933,3871
29/05/2020,3952,3902
30/05/2020,3965,3912
31/05/2020,3976,3914
01/06/2020,3982,3935
02/06/2020,3996,3951
03/06/2020,4008,3970
04/06/2020,4012,3989
05/06/2020,4028,4000
06/06/2020,4036,4002
07/06/2020,4046,4003
08/06/2020,4055,4019
09/06/2020,4060,4038
10/06/2020,4072,4051
11/06/2020,4076,4057
12/06/2020,4080,4069
13/06/2020,4086,4072
14/06/2020,4093,4072
15/06/2020,4102,4080
16/06/2020,4110,4097
17/06/2020,4120,4104
18/06/2020,4129,4112
19/06/2020,4131,4121
20/06/2020,4138,4121
21/06/2020,4146,4121
22/06/2020,4152,4129
23/06/2020,4155,4142
24/06/2020,4158,4150
25/06/2020,4160,4154
26/06/2020,4163,4156
27/06/2020,4168,4156
28/06/2020,4169,4156
29/06/2020,4171,4159
30/06/2020,4173,4165
01/07/2020,4177,4169
02/07/2020,4178,4173
03/07/2020,4179,4174
04/07/2020,4182,4174
05/07/2020,4183,4174
06/07/2020,4186,4178
07/07/2020,4186,4184
08/07/2020,4187,4184
09/07/2020,4187,4185
10/07/2020,4187,4187
11/07/2020,4190,4187
12/07/2020,4190,4187
13/07/2020,4191,4188
14/07/2020,4194,4189
15/07/2020,4196,4192
16/07/2020,4196,4193
17/07/2020,4196,4193
18/07/2020,4198,4193
19/07/2020,4200,4193
20/07/2020,,4194
21/07/2020,,4198
22/07/2020,,4199
23/07/2020,,4200
24/07/2020,,4201
25/07/2020,,4201
26/07/2020,,4201
